sim_name	configuration	prop_orientalis	prop_used	n_orientalis	n_target	run_id	seed	cfg_file	quanti_file	stage_file
dispersed_p40_r01	dispersed	0.4	0.4	250	250	1	410100	input_files/configs_txt/dispersed_p40_r01.txt	input_files/quanti_init_freq/quanti_init_file_dispersed_p40_r01.txt	input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p40_r01.txt
dispersed_p40_r02	dispersed	0.4	0.4	250	250	2	410101	input_files/configs_txt/dispersed_p40_r02.txt	input_files/quanti_init_freq/quanti_init_file_dispersed_p40_r02.txt	input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p40_r02.txt
dispersed_p40_r03	dispersed	0.4	0.4	250	250	3	410102	input_files/configs_txt/dispersed_p40_r03.txt	input_files/quanti_init_freq/quanti_init_file_dispersed_p40_r03.txt	input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p40_r03.txt
dispersed_p40_r04	dispersed	0.4	0.4	250	250	4	410103	input_files/configs_txt/dispersed_p40_r04.txt	input_files/quanti_init_freq/quanti_init_file_dispersed_p40_r04.txt	input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p40_r04.txt
dispersed_p40_r05	dispersed	0.4	0.4	250	250	5	410104	input_files/configs_txt/dispersed_p40_r05.txt	input_files/quanti_init_freq/quanti_init_file_dispersed_p40_r05.txt	input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p40_r05.txt
one_cluster_p40_r01	one_cluster	0.4	0.4	250	250	1	410200	input_files/configs_txt/one_cluster_p40_r01.txt	input_files/quanti_init_freq/quanti_init_file_one_cluster_p40_r01.txt	input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p40_r01.txt
one_cluster_p40_r02	one_cluster	0.4	0.4	250	250	2	410201	input_files/configs_txt/one_cluster_p40_r02.txt	input_files/quanti_init_freq/quanti_init_file_one_cluster_p40_r02.txt	input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p40_r02.txt
one_cluster_p40_r03	one_cluster	0.4	0.4	250	250	3	410202	input_files/configs_txt/one_cluster_p40_r03.txt	input_files/quanti_init_freq/quanti_init_file_one_cluster_p40_r03.txt	input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p40_r03.txt
one_cluster_p40_r04	one_cluster	0.4	0.4	250	250	4	410203	input_files/configs_txt/one_cluster_p40_r04.txt	input_files/quanti_init_freq/quanti_init_file_one_cluster_p40_r04.txt	input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p40_r04.txt
one_cluster_p40_r05	one_cluster	0.4	0.4	250	250	5	410204	input_files/configs_txt/one_cluster_p40_r05.txt	input_files/quanti_init_freq/quanti_init_file_one_cluster_p40_r05.txt	input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p40_r05.txt
multi_cluster_p40_r01	multi_cluster	0.4	0.4	250	250	1	410300	input_files/configs_txt/multi_cluster_p40_r01.txt	input_files/quanti_init_freq/quanti_init_file_multi_cluster_p40_r01.txt	input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p40_r01.txt
multi_cluster_p40_r02	multi_cluster	0.4	0.4	250	250	2	410301	input_files/configs_txt/multi_cluster_p40_r02.txt	input_files/quanti_init_freq/quanti_init_file_multi_cluster_p40_r02.txt	input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p40_r02.txt
multi_cluster_p40_r03	multi_cluster	0.4	0.4	250	250	3	410302	input_files/configs_txt/multi_cluster_p40_r03.txt	input_files/quanti_init_freq/quanti_init_file_multi_cluster_p40_r03.txt	input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p40_r03.txt
multi_cluster_p40_r04	multi_cluster	0.4	0.4	250	250	4	410303	input_files/configs_txt/multi_cluster_p40_r04.txt	input_files/quanti_init_freq/quanti_init_file_multi_cluster_p40_r04.txt	input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p40_r04.txt
multi_cluster_p40_r05	multi_cluster	0.4	0.4	250	250	5	410304	input_files/configs_txt/multi_cluster_p40_r05.txt	input_files/quanti_init_freq/quanti_init_file_multi_cluster_p40_r05.txt	input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p40_r05.txt
transects_p40_r01	transects	0.4	0.4	250	250	1	410400	input_files/configs_txt/transects_p40_r01.txt	input_files/quanti_init_freq/quanti_init_file_transects_p40_r01.txt	input_files/patch_init_stage_size/patch_init_stage_size_transects_p40_r01.txt
transects_p40_r02	transects	0.4	0.4	250	250	2	410401	input_files/configs_txt/transects_p40_r02.txt	input_files/quanti_init_freq/quanti_init_file_transects_p40_r02.txt	input_files/patch_init_stage_size/patch_init_stage_size_transects_p40_r02.txt
transects_p40_r03	transects	0.4	0.4	250	250	3	410402	input_files/configs_txt/transects_p40_r03.txt	input_files/quanti_init_freq/quanti_init_file_transects_p40_r03.txt	input_files/patch_init_stage_size/patch_init_stage_size_transects_p40_r03.txt
transects_p40_r04	transects	0.4	0.4	250	250	4	410403	input_files/configs_txt/transects_p40_r04.txt	input_files/quanti_init_freq/quanti_init_file_transects_p40_r04.txt	input_files/patch_init_stage_size/patch_init_stage_size_transects_p40_r04.txt
transects_p40_r05	transects	0.4	0.4	250	250	5	410404	input_files/configs_txt/transects_p40_r05.txt	input_files/quanti_init_freq/quanti_init_file_transects_p40_r05.txt	input_files/patch_init_stage_size/patch_init_stage_size_transects_p40_r05.txt
