selection	configuration	ori_proportion	k	b	kb	generation	mean_prop_hybrid_layout	sd_prop_hybrid_layout	cv_prop_hybrid_layout	mean_HI_layout	sd_HI_layout	n_layouts
neutral	dispersed	0.1	30	0.03	k30 b0.03	1000	0.652119250420865	0.0480472086408927	0.0736785620266293	0.150329138384347	0.00963636797388935	5
neutral	dispersed	0.25	30	0.03	k30 b0.03	1000	0.939421947915472	0.0124172221007801	0.0132179391042899	0.392486950520178	0.0428646184861896	5
neutral	dispersed	0.4	30	0.03	k30 b0.03	1000	0.997583728354083	0.00226266842420904	0.00226814888805596	0.672769342278446	0.0369584258194968	5
neutral	multi_cluster	0.1	30	0.03	k30 b0.03	1000	0.715414351887971	0.0523707398815356	0.0732033677313431	0.179723775651661	0.0418862265711772	5
neutral	multi_cluster	0.25	30	0.03	k30 b0.03	1000	0.989379789386963	0.00493529762814113	0.00498827415021194	0.557857360637976	0.0224165282811618	5
neutral	multi_cluster	0.4	30	0.03	k30 b0.03	1000	0.99945023329643	0.000329368696799082	0.000329549872346064	0.748162128385317	0.0146431958913024	5
neutral	one_cluster	0.1	30	0.03	k30 b0.03	1000	0.877796965404464	0.0322496456207306	0.0367392995097345	0.269638758749918	0.0149928033274401	5
neutral	one_cluster	0.25	30	0.03	k30 b0.03	1000	0.996196752276238	0.000721515233133887	0.000724269810642604	0.632919629184692	0.0064980982663173	5
neutral	one_cluster	0.4	30	0.03	k30 b0.03	1000	0.999664500129544	0.000196756732176025	0.000196822766188584	0.767889861620035	0.0151489658985649	5
neutral	transects	0.1	30	0.03	k30 b0.03	1000	0.688466759137075	0.0451209452712837	0.065538306203539	0.154446915706215	0.0230057005303878	5
neutral	transects	0.25	30	0.03	k30 b0.03	1000	0.981950695945461	0.00975848106992631	0.00993785238935084	0.502244547938607	0.0592068129286146	5
neutral	transects	0.4	30	0.03	k30 b0.03	1000	0.998715925840124	0.000897081209384771	0.000898234609235997	0.741594934841155	0.0113437050392565	5
sel_E	dispersed	0.1	30	0.03	k30 b0.03	1000	0.825544023656492	0.02142554273547	0.0259532406770656	0.247164120474501	0.0185447225778078	5
sel_E	dispersed	0.25	30	0.03	k30 b0.03	1000	0.986440385699769	0.00530487325934526	0.00537779407275793	0.563150454295117	0.0529146378501451	5
sel_E	dispersed	0.4	30	0.03	k30 b0.03	1000	0.999568888751949	0.000236935661406826	0.000237037851090645	0.759902668249844	0.00741543567868194	5
sel_E	multi_cluster	0.1	30	0.03	k30 b0.03	1000	0.875025243517391	0.0352179406727499	0.0402479139129544	0.304311305825825	0.041146235445133	5
sel_E	multi_cluster	0.25	30	0.03	k30 b0.03	1000	0.998220165845282	0.00126334005940138	0.00126559260434456	0.691935688262728	0.0412801501214762	5
sel_E	multi_cluster	0.4	30	0.03	k30 b0.03	1000	0.999793024067679	8.64882132032858e-05	8.65061178876871e-05	0.770957667713996	0.00609105570662874	5
sel_E	one_cluster	0.1	30	0.03	k30 b0.03	1000	0.958301828080708	0.0172642429751945	0.0180154544938847	0.404778685167097	0.043234503100748	5
sel_E	one_cluster	0.25	30	0.03	k30 b0.03	1000	0.999282995320075	0.000356566310382519	0.000356822153536506	0.727717826831046	0.0171648702658166	5
sel_E	one_cluster	0.4	30	0.03	k30 b0.03	1000	0.999226471639133	0.000266249226074794	0.00026645533683474	0.7499856499271	0.0147638134450513	5
sel_E	transects	0.1	30	0.03	k30 b0.03	1000	0.821312336103314	0.0596298958784574	0.0726031903543166	0.237275887572291	0.0392607496438539	5
sel_E	transects	0.25	30	0.03	k30 b0.03	1000	0.997048123715618	0.00126804559459089	0.00127179979023015	0.653633350283541	0.0207401115931057	5
sel_E	transects	0.4	30	0.03	k30 b0.03	1000	0.999560161436936	0.000215910102498802	0.000216005109875944	0.75351013225878	0.00975812188219283	5
sel_O	dispersed	0.1	30	0.03	k30 b0.03	1000	0.640805906358975	0.0814509151602356	0.127106998159607	0.137478650499782	0.0281941511464686	5
sel_O	dispersed	0.25	30	0.03	k30 b0.03	1000	0.916403467531786	0.0362886259848593	0.0395989618880405	0.329826635465374	0.0263842904052255	5
sel_O	dispersed	0.4	30	0.03	k30 b0.03	1000	0.991912482714408	0.00415671266196729	0.00419060424624588	0.592601090379875	0.0305613498479999	5
sel_O	multi_cluster	0.1	30	0.03	k30 b0.03	1000	0.704385885320928	0.0225917449546079	0.0320729665733078	0.164178787085373	0.0049069195355911	5
sel_O	multi_cluster	0.25	30	0.03	k30 b0.03	1000	0.976956363800177	0.011143506063861	0.0114063498399405	0.486132150230448	0.039818220573569	5
sel_O	multi_cluster	0.4	30	0.03	k30 b0.03	1000	0.99781355728933	0.00125610371940388	0.00125885613622672	0.695563716645911	0.0322431535099871	5
sel_O	one_cluster	0.1	30	0.03	k30 b0.03	1000	0.851378941489035	0.0474681898007304	0.0557544795713529	0.24849858380002	0.0397704281461061	5
sel_O	one_cluster	0.25	30	0.03	k30 b0.03	1000	0.993639664187703	0.00252863426961079	0.00254482018054094	0.57091091189994	0.0217996667093976	5
sel_O	one_cluster	0.4	30	0.03	k30 b0.03	1000	0.999333099812735	0.00016227991140718	0.000162388208133594	0.726524739033014	0.0236678390229449	5
sel_O	transects	0.1	30	0.03	k30 b0.03	1000	0.680271802793839	0.0515771807257023	0.0758184897769945	0.158592109653349	0.0228244426600526	5
sel_O	transects	0.25	30	0.03	k30 b0.03	1000	0.974034632877302	0.0151867773669566	0.0155916194910799	0.466661064578959	0.0514087564202352	5
sel_O	transects	0.4	30	0.03	k30 b0.03	1000	0.998372198168423	0.0012285451631706	0.00123054825186884	0.692336671000692	0.0235958790507155	5
